date_of_birth,genderLabel,imdb_id,occupationLabel,person,person_name,place_of_birthLabel,Actors_directors (Title)
1950-03-13T00:00:00Z,זכר,nm0278735,במאי קולנוע,http://www.wikidata.org/entity/Q328555,שמוליק פירסטנברג,פולין,
1935-07-01T00:00:00Z,זכר,nm0470156,שחקן,http://www.wikidata.org/entity/Q4278999,שמוליק קראוס,ירושלים,
1952-02-07T00:00:00Z,זכר,nm0069898,שחקן,http://www.wikidata.org/entity/Q7499631,שמיל בן ארי,אוג'דה,
1949-12-23T00:00:00Z,זכר,nm0234520,במאי קולנוע,http://www.wikidata.org/entity/Q726182,שמעון דותן,Adjud,
1982-05-24T00:00:00Z,נקבה,nm2511102,שחקן,http://www.wikidata.org/entity/Q12411875,שמרית לוסטיג,חיפה,
1984-10-21T00:00:00Z,נקבה,nm6449075,שחקן,http://www.wikidata.org/entity/Q18091356,שני קליין,הוד השרון,
1932-09-13T00:00:00Z,נקבה,nm2712501,שחקן,http://www.wikidata.org/entity/Q11307744,שפרירה זכאי,תל אביב-יפו,
1978-06-18T00:00:00Z,נקבה,nm0012239,שחקן,http://www.wikidata.org/entity/Q2776777,שרה אדלר,פריז,
1962-05-21T00:00:00Z,זכר,nm0018745,שחקן,http://www.wikidata.org/entity/Q12411934,שרון אלכסנדר,ישראל,
1964-10-01T00:00:00Z,נקבה,nm0352592,שחקן,http://www.wikidata.org/entity/Q6761962,שרון הכהן-בר,קריית טבעון,
1973-10-21T00:00:00Z,זכר,nm2321422,שחקן,http://www.wikidata.org/entity/Q7000493,שרון מימון,רמלה,
1971-08-01T00:00:00Z,נקבה,nm0899042,שחקן,http://www.wikidata.org/entity/Q7016257,שרית וינו-אלעד,באר שבע,
1961-10-01T00:00:00Z,נקבה,nm0785168,שחקן,http://www.wikidata.org/entity/Q6988491,שרית סרי,תל אביב-יפו,
1947-11-24T00:00:00Z,זכר,nm0299924,שחקן,http://www.wikidata.org/entity/Q1359402,ששון גבאי,בגדאד,
1976-01-01T00:00:00Z,זכר,nm1397160,במאי קולנוע,http://www.wikidata.org/entity/Q2397623,תאופיק אבו ואיל,אום אל-פחם,
1993-01-21T00:00:00Z,זכר,nm2068808,שחקן,http://www.wikidata.org/entity/Q7039423,תובל שפיר,ישראל,
1981-09-08T00:00:00Z,זכר,nm2639503,במאי קולנוע,http://www.wikidata.org/entity/Q12412004,תום שובל,פתח תקווה,
1973-08-18T00:00:00Z,זכר,nm1351922,שחקן,http://www.wikidata.org/entity/Q9359700,תומס סובצ'ק,פולין,
1980-08-01T00:00:00Z,זכר,nm2063842,שחקן,http://www.wikidata.org/entity/Q6604944,תומר אופנר,ישראל,
1975-09-08T00:00:00Z,זכר,nm0948851,שחקן,http://www.wikidata.org/entity/Q7061145,תומר יוסף,כפר סבא,
1974-08-14T00:00:00Z,זכר,nm0803037,שחקן,http://www.wikidata.org/entity/Q1108449,תומר סיסלי,ברלין המערבית,
1970-05-01T00:00:00Z,זכר,nm0788976,שחקן,http://www.wikidata.org/entity/Q7056950,תומר שרון,תל אביב-יפו,
1903-11-16T00:00:00Z,זכר,nm0225555,במאי קולנוע,http://www.wikidata.org/entity/Q2429028,תורולד דיקנסון,בריסטול,
1924-05-02T00:00:00Z,זכר,nm0000942,שחקן קולנוע,http://www.wikidata.org/entity/Q215721,תיאודור ביקל,וינה,
1985-05-01T00:00:00Z,נקבה,nm4003209,שחקן,http://www.wikidata.org/entity/Q6969909,תמר אלקן,אילת,
1988-10-01T00:00:00Z,נקבה,nm2504118,שחקן,http://www.wikidata.org/entity/Q6642081,תמר שם אור,ישראל,
1976-12-18T00:00:00Z,זכר,nm0052739,שחקן,http://www.wikidata.org/entity/Q7067952,רועי בר-נתן,הרצליה,
1992-06-08T00:00:00Z,זכר,nm5067820,שחקן,http://www.wikidata.org/entity/Q17614188,רועי ניק,ישראל,
1982-09-16T00:00:00Z,נקבה,nm6514637,שחקן,http://www.wikidata.org/entity/Q1275834,רותי אסרסאי,באר שבע,
1976-08-18T00:00:00Z,נקבה,nm1206307,שחקן,http://www.wikidata.org/entity/Q7009012,רותם אבוהב,רחובות,
1982-08-02T00:00:00Z,נקבה,nm1577510,שחקן,http://www.wikidata.org/entity/Q3442963,רותם זיסמן-כהן,זכרון יעקב,
1956-01-18T00:00:00Z,נקבה,nm0411492,שחקן,http://www.wikidata.org/entity/Q16129016,רזיה ישראלי,ישראל,
1978-07-19T00:00:00Z,נקבה,nm1492000,שחקן,http://www.wikidata.org/entity/Q582910,ריימונד אמסלם,ירושלים,
1984-03-23T00:00:00Z,נקבה,nm4059778,שחקן,http://www.wikidata.org/entity/Q3431891,ריף כהן,תל אביב-יפו,
1949-08-31T00:00:00Z,זכר,nm0000152,שחקן,http://www.wikidata.org/entity/Q48410,ריצ'רד גיר,פילדלפיה,
1979-09-29T00:00:00Z,נקבה,nm0088363,שחקן,http://www.wikidata.org/entity/Q3956456,ריקי בליך,ישראל,
1950-07-07T00:00:00Z,נקבה,nm0301543,שחקן,http://www.wikidata.org/entity/Q545772,ריקי גל,ירושלים,
1967-01-01T00:00:00Z,נקבה,nm5112815,במאי קולנוע,http://www.wikidata.org/entity/Q6795712,רמה בורשטין,ניו יורק,
1955-08-30T00:00:00Z,זכר,nm0059424,שחקן,http://www.wikidata.org/entity/Q12411392,רמי ברוך,חיפה,
1963-01-12T00:00:00Z,זכר,nm0381812,שחקן,http://www.wikidata.org/entity/Q7289526,רמי הויברגר,תל אביב-יפו,
1984-01-07T00:00:00Z,זכר,nm1763736,שחקן,http://www.wikidata.org/entity/Q537222,רן דנקר,נורפוק,
1978-07-29T00:00:00Z,נקבה,nm1442535,שחקן,http://www.wikidata.org/entity/Q7045374,רננה רז,ישראל,
1971-01-01T00:00:00Z,זכר,nm0618930,במאי קולנוע,http://www.wikidata.org/entity/Q2894493,רפאל נג'ארי,מרסיי,
1948-02-01T00:00:00Z,זכר,nm0851782,שחקן,http://www.wikidata.org/entity/Q6996644,רפי תבור,רומניה,
1994-11-17T00:00:00Z,זכר,nm5674223,שחקן,http://www.wikidata.org/entity/Q24039039,שאדי מרעי,משהד,
1958-06-01T00:00:00Z,זכר,nm0594631,שחקן,http://www.wikidata.org/entity/Q6661472,שאול מזרחי,חולון,
1971-07-21T00:00:00Z,נקבה,nm0001250,שחקן,http://www.wikidata.org/entity/Q276005,שארלוט גינסבורג,לונדון,
1960-07-23T00:00:00Z,זכר,nm0300076,במאי קולנוע,http://www.wikidata.org/entity/Q2228099,שבי גביזון,חיפה,
1944-04-01T00:00:00Z,נקבה,nm0720744,שחקן,http://www.wikidata.org/entity/Q17523684,שולה רווח,חיפה,
1962-02-08T00:00:00Z,זכר,nm0709493,שחקן,http://www.wikidata.org/entity/Q2911752,שולי רנד,בני ברק,
1908-01-01T00:00:00Z,נקבה,nm0240265,שחקן,http://www.wikidata.org/entity/Q6743466,שושנה דואר,דמשק,
1963-01-01T00:00:00Z,זכר,nm0043241,שחקן,http://www.wikidata.org/entity/Q7003201,שי אביבי,עכו,
1967-08-06T00:00:00Z,זכר,nm1136674,במאי קולנוע,http://www.wikidata.org/entity/Q7001406,שי כנות,לוס אנג'לס,
1929-11-04T00:00:00Z,זכר,nm0649090,שחקן,http://www.wikidata.org/entity/Q205000,שייקה אופיר,ירושלים,
1939-01-01T00:00:00Z,זכר,nm0505504,שחקן,http://www.wikidata.org/entity/Q4025622,שייקה לוי,קהיר,
1971-04-23T00:00:00Z,נקבה,nm0311700,במאי קולנוע,http://www.wikidata.org/entity/Q6157634,שירה גפן,רמת גן,
1995-05-11T00:00:00Z,נקבה,nm6024635,שחקן,http://www.wikidata.org/entity/Q17566342,שירה האס,תל אביב-יפו,
1974-10-13T00:00:00Z,נקבה,nm1368139,שחקן,http://www.wikidata.org/entity/Q7498334,שירז טל,נתניה,
1978-10-20T00:00:00Z,נקבה,nm1742833,שחקן,http://www.wikidata.org/entity/Q12411678,שירי גדני,נתניה,
