cast,director,genre,imdb_id,movie,movie_title,publication_date,rating
"Gabi Amrani, Teri Gabor, Tali Goldberg, Sassi Keshet, Caroline Langford",Eli Sagi,Drama,tt0147495,http://www.wikidata.org/entity/Q52843186,שגעון של אבא!,1981-01-01T00:00:00Z,8.8
"Alina Alekseev, Amiram Eini, Roman Gershkovich, Polina Haritonski, Katya Kossoy",Ganit Orian,"Comedy, Romance, Sci-Fi",tt2556756,http://www.wikidata.org/entity/Q18192193,"שגר אותי לחלל, סשה!",2016-04-06T21:00:00Z,
"Johnny Arbid, Sharon Brandon, Lia Dultzkaya, Shmuel Edelman, Sharon Hacohen",Isaac Zepel Yeshurun,Drama,tt0144591,http://www.wikidata.org/entity/Q52836995,שדות ירוקים,1989-01-01T00:00:00Z,6.5
"David Avidan, Joseph Bee, Grisha Borodo, Walter Flesch, Zygmont Frankel",David Avidan,"Drama, Sci-Fi",tt0152394,http://www.wikidata.org/entity/Q52836998,שדר מן העתיד,1981-01-01T00:00:00Z,5.5
יזהר אשדות,אבי נשר,"Comedy, Music",tt0152427,http://www.wikidata.org/entity/Q6760326,שוברים,1985-01-01T00:00:00Z,6.8
"Benny Amdurski, Gabi Amrani, Yehuda Efroni, Dubi Gal, Israel Gurion",מנחם גולן,Drama,tt0148846,http://www.wikidata.org/entity/Q6959339,שוד הטלפונים הגדול,1971-12-31T22:00:00Z,7
"משה איבגי, קרן מור, שרון הכהן-בר, משה פרסטר, יגאל עדיקא, אלברט אילוז, נתן זהבי, סיני פתר, עזרא כפרי, אהובה קרן, שמואל אדלמן",שבי גביזון,Comedy,tt0102919,http://www.wikidata.org/entity/Q6853784,שורו,1990-01-01T00:00:00Z,6.8
"אניה בוקשטיין, יהודה לוי, עמוס לביא, ולדימיר פרידמן, חנה אזולאי-הספרי, טל פרידמן, דב נבון, שרונה אלימלך",שמואל הספרי,סרט דרמה,tt0480940,http://www.wikidata.org/entity/Q6617366,שושלת שוורץ,2005-01-01T00:00:00Z,6.9
גל גדות,שי כנות,"Comedy, Sport",tt3421738,http://www.wikidata.org/entity/Q18192199,שושנה חלוץ מרכזי,2014-01-01T00:00:00Z,4.9
"גילה אלמגור, רונית אלקבץ, עמוס לביא, ארז בן הרוש, מרים גבריאלי, אורלי בן-גרטי, אורי בנאי, יעקב כהן (שחקן), אסתי ירושלמי, תקווה עזיז, חנה אזולאי-הספרי, אלברט אילוז, אמונה צבי לשם",שמואל הספרי,סרט דרמה,tt0111140,http://www.wikidata.org/entity/Q7459830,שחור,1994-01-01T00:00:00Z,7.2
"Ayala Asherov, Tali Atzmon, Aki Avni, Orly Ben-Garti, Shirili Deshe",Ron Ninio,Drama,tt0114325,http://www.wikidata.org/entity/Q52836967,שחקנים,1995-01-01T00:00:00Z,7.2
"Liat Glick, Juliano Mer-Khamis, Shimon Mimran, Maayan Keret, Maor Cohen",Oron Adar,Drama,tt7488322,http://www.wikidata.org/entity/Q52063162,שחרר את הנסיכה,1999-01-01T00:00:00Z,
"אורלי זילברשץ, יפה ירקוני, יאיר לפיד, צ'רלי בוזגלו, אביטל דיקר, דלית קהן, קרין אופיר, דודיק סמדר, נסים זוהר, מאיר סויסה, אורי כבירי, אמונה צבי לשם, רוזינה קמבוס, רמי ברוך",איתן פוקס,סרט דרמה,tt0111171,http://www.wikidata.org/entity/Q6770184,שירת הסירנה,1994-01-01T00:00:00Z,6.5
ישראל פוליאקוב,אסי דיין,"Comedy, Music",tt0079297,http://www.wikidata.org/entity/Q7431672,שלאגר,1979-01-01T00:00:00Z,6.5
"Rami Heuberger, Avigail Ariely, Ya'ackov Banai, Gali Ben-Nir, Dan Muggia",Hagai Levi,Drama,tt0143876,http://www.wikidata.org/entity/Q52836970,שלג באוגוסט,1993-01-01T00:00:00Z,6.1
"פאני ארדן, ז'ראר דפארדיה, Clémentine Poidatz, ששון גבאי, ז'ק הרלין, ז'אן בן-גיגי, ליאור אשכנזי, Alix de Konopka, Françoise Christophe, Gilles Gaston-Dreyfus, Jean-Michel Lahmi, Julien Baumgartner, Manu Payet, Muriel Combeau",Graham Guit,סרט קומדיה,tt1160012,http://www.wikidata.org/entity/Q1138123,שלום ולהתראות,2008-01-01T00:00:00Z,5.1
"Rafi Adar, Nissim Azikri, Avraham Ben-Yosef, Israel Gurion, Sharon Meir",יקי יושע,סרט דרמה,tt0152387,http://www.wikidata.org/entity/Q7487300,"שלום, תפילת הדרך",1973-01-01T00:00:00Z,6.9
"מירי מסיקה, גילה אלמגור, ריימונד אמסלם, נטלי עטיה, טלי שרון, יורם טולדנו, עמוס תמם, יורם חטב, שמיל בן ארי, יחזקאל לזרוב, אלה ארמוני, רבקה רז, בני אבני",דינה צבי-ריקליס,Drama,tt0833546,http://www.wikidata.org/entity/Q6853638,שלוש אמהות,2006-01-01T00:00:00Z,6.4
יונה אליאן,מיכאל קאליק,סרט דרמה,tt0175161,http://www.wikidata.org/entity/Q18192212,שלושה ואחת,1974-01-01T00:00:00Z,7.7
